"score","severity","cve","pkgname","title","description","installed_version","fixed_version","target","class","type"
7,"MEDIUM","CVE-2024-52533","gir1.2-glib-2.0","glib: buffer overflow in set_connect_msg()","gio/gsocks4aproxy.c in GNOME GLib before 2.82.1 has an off-by-one error and resultant buffer overflow because SOCKS4_CONN_MSG_LEN is not sufficient for a trailing '\0' character.","2.80.0-6ubuntu3.1","2.80.0-6ubuntu3.2","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
7,"MEDIUM","CVE-2024-52533","libglib2.0-0t64","glib: buffer overflow in set_connect_msg()","gio/gsocks4aproxy.c in GNOME GLib before 2.82.1 has an off-by-one error and resultant buffer overflow because SOCKS4_CONN_MSG_LEN is not sufficient for a trailing '\0' character.","2.80.0-6ubuntu3.1","2.80.0-6ubuntu3.2","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
7,"MEDIUM","CVE-2024-52533","libglib2.0-data","glib: buffer overflow in set_connect_msg()","gio/gsocks4aproxy.c in GNOME GLib before 2.82.1 has an off-by-one error and resultant buffer overflow because SOCKS4_CONN_MSG_LEN is not sufficient for a trailing '\0' character.","2.80.0-6ubuntu3.1","2.80.0-6ubuntu3.2","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
6.3,"MEDIUM","CVE-2024-9287","libpython3.12-minimal","python: Virtual environment (venv) activation scripts don't quote paths","A vulnerability has been found in the CPython `venv` module and CLI where path names provided when creating a virtual environment were not quoted properly, allowing the creator to inject commands into virtual environment ""activation"" scripts (ie ""source venv/bin/activate""). This means that attacker-controlled virtual environments are able to run commands when the virtual environment is activated. Virtual environments which are not created by an attacker or which aren't activated before being used (ie ""./venv/bin/python"") are not affected.","3.12.3-1ubuntu0.2","3.12.3-1ubuntu0.3","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
6.3,"MEDIUM","CVE-2024-9287","libpython3.12-stdlib","python: Virtual environment (venv) activation scripts don't quote paths","A vulnerability has been found in the CPython `venv` module and CLI where path names provided when creating a virtual environment were not quoted properly, allowing the creator to inject commands into virtual environment ""activation"" scripts (ie ""source venv/bin/activate""). This means that attacker-controlled virtual environments are able to run commands when the virtual environment is activated. Virtual environments which are not created by an attacker or which aren't activated before being used (ie ""./venv/bin/python"") are not affected.","3.12.3-1ubuntu0.2","3.12.3-1ubuntu0.3","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
6.3,"MEDIUM","CVE-2024-9287","libpython3.12t64","python: Virtual environment (venv) activation scripts don't quote paths","A vulnerability has been found in the CPython `venv` module and CLI where path names provided when creating a virtual environment were not quoted properly, allowing the creator to inject commands into virtual environment ""activation"" scripts (ie ""source venv/bin/activate""). This means that attacker-controlled virtual environments are able to run commands when the virtual environment is activated. Virtual environments which are not created by an attacker or which aren't activated before being used (ie ""./venv/bin/python"") are not affected.","3.12.3-1ubuntu0.2","3.12.3-1ubuntu0.3","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
6.3,"MEDIUM","CVE-2024-9287","python3.12","python: Virtual environment (venv) activation scripts don't quote paths","A vulnerability has been found in the CPython `venv` module and CLI where path names provided when creating a virtual environment were not quoted properly, allowing the creator to inject commands into virtual environment ""activation"" scripts (ie ""source venv/bin/activate""). This means that attacker-controlled virtual environments are able to run commands when the virtual environment is activated. Virtual environments which are not created by an attacker or which aren't activated before being used (ie ""./venv/bin/python"") are not affected.","3.12.3-1ubuntu0.2","3.12.3-1ubuntu0.3","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
6.3,"MEDIUM","CVE-2024-9287","python3.12-minimal","python: Virtual environment (venv) activation scripts don't quote paths","A vulnerability has been found in the CPython `venv` module and CLI where path names provided when creating a virtual environment were not quoted properly, allowing the creator to inject commands into virtual environment ""activation"" scripts (ie ""source venv/bin/activate""). This means that attacker-controlled virtual environments are able to run commands when the virtual environment is activated. Virtual environments which are not created by an attacker or which aren't activated before being used (ie ""./venv/bin/python"") are not affected.","3.12.3-1ubuntu0.2","3.12.3-1ubuntu0.3","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
3.9,"LOW","CVE-2024-47814","vim","vim: use-after-free when closing buffers in Vim","Vim is an open source, command line text editor. A use-after-free was found in Vim < 9.1.0764. When closing a buffer (visible in a window) a BufWinLeave auto command can cause an use-after-free if this auto command happens to re-open the same buffer in a new split window. Impact is low since the user must have intentionally set up such a strange auto command and run some buffer unload commands. However this may lead to a crash. This issue has been addressed in version 9.1.0764 and all users are advised to upgrade. There are no known workarounds for this vulnerability.","2:9.1.0016-1ubuntu7.3","2:9.1.0016-1ubuntu7.5","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
3.9,"LOW","CVE-2024-47814","vim-common","vim: use-after-free when closing buffers in Vim","Vim is an open source, command line text editor. A use-after-free was found in Vim < 9.1.0764. When closing a buffer (visible in a window) a BufWinLeave auto command can cause an use-after-free if this auto command happens to re-open the same buffer in a new split window. Impact is low since the user must have intentionally set up such a strange auto command and run some buffer unload commands. However this may lead to a crash. This issue has been addressed in version 9.1.0764 and all users are advised to upgrade. There are no known workarounds for this vulnerability.","2:9.1.0016-1ubuntu7.3","2:9.1.0016-1ubuntu7.5","/tmp/7af54f429a9c161382d6fdcb516d07cf984f92ef74caa02fddb218babeddd81d.sbom.json (ubuntu 24.04)","os-pkgs","ubuntu"
