"group","name","version"
"ch.qos.logback","logback-classic","1.5.12"
"ch.qos.logback","logback-core","1.5.12"
"com.fasterxml.jackson.core","jackson-annotations","2.18.2"
"com.fasterxml.jackson.core","jackson-core","2.18.2"
"com.fasterxml.jackson.core","jackson-databind","2.18.2"
"com.fasterxml.jackson.datatype","jackson-datatype-jdk8","2.18.2"
"com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.18.2"
"com.fasterxml.jackson.module","jackson-module-parameter-names","2.18.2"
"com.fasterxml.jackson","jackson-bom","2.18.2"
"cool.heller.uli","bye-moon","1.0-SNAPSHOT"
"cool.heller.uli","hello-world","0.9.0"
"cool.heller","maybe-mars","1.1.0-BETA"
"io.micrometer","micrometer-commons","1.14.2"
"io.micrometer","micrometer-observation","1.14.2"
"jakarta.annotation","jakarta.annotation-api","2.1.1"
"org.apache.logging.log4j","log4j-api","2.24.3"
"org.apache.logging.log4j","log4j-to-slf4j","2.24.3"
"org.apache.tomcat.embed","tomcat-embed-core","10.1.34"
"org.apache.tomcat.embed","tomcat-embed-el","10.1.34"
"org.apache.tomcat.embed","tomcat-embed-websocket","10.1.34"
"org.slf4j","jul-to-slf4j","2.0.16"
"org.slf4j","slf4j-api","2.0.16"
"org.springframework.boot","spring-boot-autoconfigure","3.4.1"
"org.springframework.boot","spring-boot-dependencies","3.4.1"
"org.springframework.boot","spring-boot-starter-json","3.4.1"
"org.springframework.boot","spring-boot-starter-logging","3.4.1"
"org.springframework.boot","spring-boot-starter-tomcat","3.4.1"
"org.springframework.boot","spring-boot-starter-web","3.4.1"
"org.springframework.boot","spring-boot-starter","3.4.1"
"org.springframework.boot","spring-boot","3.4.1"
"org.springframework","spring-aop","6.2.1"
"org.springframework","spring-beans","6.2.1"
"org.springframework","spring-context","6.2.1"
"org.springframework","spring-core","6.2.1"
"org.springframework","spring-expression","6.2.1"
"org.springframework","spring-jcl","6.2.1"
"org.springframework","spring-web","6.2.1"
"org.springframework","spring-webmvc","6.2.1"
"org.yaml","snakeyaml","2.3"
