"type","ref","group","name","version"
"operating-system","b085e671-e87c-4e93-977b-a6d88eae88ad",,"ubuntu","24.04"
"library","pkg:deb",,"adduser","3.137ubuntu1"
"library","pkg:deb",,"apt","2.7.14build2"
"library","pkg:deb",,"base-files","13ubuntu10.1"
"library","pkg:deb",,"base-passwd","3.6.3build1"
"library","pkg:deb",,"bash","5.2.21-2ubuntu4"
"library","pkg:deb",,"bsdutils","1:2.39.3-9ubuntu6.1"
"library","pkg:deb",,"ca-certificates","20240203"
"library","pkg:deb",,"coreutils","9.4-3ubuntu6"
"library","pkg:deb",,"curl","8.5.0-2ubuntu10.6"
"library","pkg:deb",,"dash","0.5.12-6ubuntu5"
"library","pkg:deb",,"debconf","1.5.86ubuntu1"
"library","pkg:deb",,"debianutils","5.17build1"
"library","pkg:deb",,"diffutils","1:3.10-1build1"
"library","pkg:deb",,"dirmngr","2.4.4-2ubuntu17"
"library","pkg:deb",,"dpkg","1.22.6ubuntu6.1"
"library","pkg:deb",,"e2fsprogs","1.47.0-2.4~exp1ubuntu4.1"
"library","pkg:deb",,"findutils","4.9.0-5build1"
"library","pkg:deb",,"fontconfig-config","2.15.0-1.1ubuntu2"
"library","pkg:deb",,"fontconfig","2.15.0-1.1ubuntu2"
"library","pkg:deb",,"fonts-dejavu-core","2.37-8"
"library","pkg:deb",,"fonts-dejavu-mono","2.37-8"
"library","pkg:deb",,"gcc-14-base","14.2.0-4ubuntu2~24.04"
"library","pkg:deb",,"gnupg-utils","2.4.4-2ubuntu17"
"library","pkg:deb",,"gnupg","2.4.4-2ubuntu17"
"library","pkg:deb",,"gpg-agent","2.4.4-2ubuntu17"
"library","pkg:deb",,"gpg","2.4.4-2ubuntu17"
"library","pkg:deb",,"gpgconf","2.4.4-2ubuntu17"
"library","pkg:deb",,"gpgsm","2.4.4-2ubuntu17"
"library","pkg:deb",,"gpgv","2.4.4-2ubuntu17"
"library","pkg:deb",,"grep","3.11-4build1"
"library","pkg:deb",,"gzip","1.12-1ubuntu3"
"library","pkg:deb",,"hostname","3.23+nmu2ubuntu2"
"library","pkg:deb",,"init-system-helpers","1.66ubuntu1"
"library","pkg:deb",,"keyboxd","2.4.4-2ubuntu17"
"library","pkg:deb",,"libacl1","2.3.2-1build1.1"
"library","pkg:deb",,"libapt-pkg6.0t64","2.7.14build2"
"library","pkg:deb",,"libassuan0","2.5.6-1build1"
"library","pkg:deb",,"libattr1","1:2.5.2-1build1"
"library","pkg:deb",,"libaudit-common","1:3.1.2-2.1build1.1"
"library","pkg:deb",,"libaudit1","1:3.1.2-2.1build1.1"
"library","pkg:deb",,"libblkid1","2.39.3-9ubuntu6.1"
"library","pkg:deb",,"libbrotli1","1.1.0-2build2"
"library","pkg:deb",,"libbz2-1.0","1.0.8-5.1build0.1"
"library","pkg:deb",,"libc-bin","2.39-0ubuntu8.3"
"library","pkg:deb",,"libc6","2.39-0ubuntu8.3"
"library","pkg:deb",,"libcap-ng0","0.8.4-2build2"
"library","pkg:deb",,"libcap2","1:2.66-5ubuntu2"
"library","pkg:deb",,"libcom-err2","1.47.0-2.4~exp1ubuntu4.1"
"library","pkg:deb",,"libcrypt1","1:4.4.36-4build1"
"library","pkg:deb",,"libcurl4t64","8.5.0-2ubuntu10.6"
"library","pkg:deb",,"libdb5.3t64","5.3.28+dfsg2-7"
"library","pkg:deb",,"libdebconfclient0","0.271ubuntu3"
"library","pkg:deb",,"libexpat1","2.6.1-2ubuntu0.2"
"library","pkg:deb",,"libext2fs2t64","1.47.0-2.4~exp1ubuntu4.1"
"library","pkg:deb",,"libffi8","3.4.6-1build1"
"library","pkg:deb",,"libfontconfig1","2.15.0-1.1ubuntu2"
"library","pkg:deb",,"libfreetype6","2.13.2+dfsg-1build3"
"library","pkg:deb",,"libgcc-s1","14.2.0-4ubuntu2~24.04"
"library","pkg:deb",,"libgcrypt20","1.10.3-2build1"
"library","pkg:deb",,"libgmp10","2:6.3.0+dfsg-2ubuntu6"
"library","pkg:deb",,"libgnutls30t64","3.8.3-1.1ubuntu3.2"
"library","pkg:deb",,"libgpg-error0","1.47-3build2"
"library","pkg:deb",,"libgssapi-krb5-2","1.20.1-6ubuntu2.2"
"library","pkg:deb",,"libhogweed6t64","3.9.1-2.2build1.1"
