"type","group","name","version"
"operating-system",,"ubuntu","24.04"
"library",,"adduser","3.137ubuntu1"
"library",,"apt","2.7.14build2"
"library",,"base-files","13ubuntu10.1"
"library",,"base-passwd","3.6.3build1"
"library",,"bash","5.2.21-2ubuntu4"
"library",,"bsdutils","1:2.39.3-9ubuntu6.1"
"library",,"ca-certificates","20240203"
"library",,"coreutils","9.4-3ubuntu6"
"library",,"curl","8.5.0-2ubuntu10.6"
"library",,"dash","0.5.12-6ubuntu5"
"library",,"debconf","1.5.86ubuntu1"
"library",,"debianutils","5.17build1"
"library",,"diffutils","1:3.10-1build1"
"library",,"dirmngr","2.4.4-2ubuntu17"
"library",,"dpkg","1.22.6ubuntu6.1"
"library",,"e2fsprogs","1.47.0-2.4~exp1ubuntu4.1"
"library",,"findutils","4.9.0-5build1"
"library",,"fontconfig-config","2.15.0-1.1ubuntu2"
"library",,"fontconfig","2.15.0-1.1ubuntu2"
"library",,"fonts-dejavu-core","2.37-8"
"library",,"fonts-dejavu-mono","2.37-8"
"library",,"gcc-14-base","14.2.0-4ubuntu2~24.04"
"library",,"gnupg-utils","2.4.4-2ubuntu17"
"library",,"gnupg","2.4.4-2ubuntu17"
"library",,"gpg-agent","2.4.4-2ubuntu17"
"library",,"gpg","2.4.4-2ubuntu17"
"library",,"gpgconf","2.4.4-2ubuntu17"
"library",,"gpgsm","2.4.4-2ubuntu17"
"library",,"gpgv","2.4.4-2ubuntu17"
"library",,"grep","3.11-4build1"
"library",,"gzip","1.12-1ubuntu3"
"library",,"hostname","3.23+nmu2ubuntu2"
"library",,"init-system-helpers","1.66ubuntu1"
"library",,"keyboxd","2.4.4-2ubuntu17"
"library",,"libacl1","2.3.2-1build1.1"
"library",,"libapt-pkg6.0t64","2.7.14build2"
"library",,"libassuan0","2.5.6-1build1"
"library",,"libattr1","1:2.5.2-1build1"
"library",,"libaudit-common","1:3.1.2-2.1build1.1"
"library",,"libaudit1","1:3.1.2-2.1build1.1"
"library",,"libblkid1","2.39.3-9ubuntu6.1"
"library",,"libbrotli1","1.1.0-2build2"
"library",,"libbz2-1.0","1.0.8-5.1build0.1"
"library",,"libc-bin","2.39-0ubuntu8.3"
"library",,"libc6","2.39-0ubuntu8.3"
"library",,"libcap-ng0","0.8.4-2build2"
"library",,"libcap2","1:2.66-5ubuntu2"
"library",,"libcom-err2","1.47.0-2.4~exp1ubuntu4.1"
"library",,"libcrypt1","1:4.4.36-4build1"
"library",,"libcurl4t64","8.5.0-2ubuntu10.6"
"library",,"libdb5.3t64","5.3.28+dfsg2-7"
"library",,"libdebconfclient0","0.271ubuntu3"
"library",,"libexpat1","2.6.1-2ubuntu0.2"
"library",,"libext2fs2t64","1.47.0-2.4~exp1ubuntu4.1"
"library",,"libffi8","3.4.6-1build1"
"library",,"libfontconfig1","2.15.0-1.1ubuntu2"
"library",,"libfreetype6","2.13.2+dfsg-1build3"
"library",,"libgcc-s1","14.2.0-4ubuntu2~24.04"
"library",,"libgcrypt20","1.10.3-2build1"
"library",,"libgmp10","2:6.3.0+dfsg-2ubuntu6"
"library",,"libgnutls30t64","3.8.3-1.1ubuntu3.2"
"library",,"libgpg-error0","1.47-3build2"
"library",,"libgssapi-krb5-2","1.20.1-6ubuntu2.2"
"library",,"libhogweed6t64","3.9.1-2.2build1.1"
"library",,"libidn2-0","2.3.7-2build1"
"library",,"libk5crypto3","1.20.1-6ubuntu2.2"
"library",,"libkeyutils1","1.6.3-3build1"
"library",,"libkrb5-3","1.20.1-6ubuntu2.2"
"library",,"libkrb5support0","1.20.1-6ubuntu2.2"
"library",,"libksba8","1.6.6-1build1"
"library",,"libldap2","2.6.7+dfsg-1~exp1ubuntu8.1"
"library",,"liblz4-1","1.9.4-1build1.1"
"library",,"liblzma5","5.6.1+really5.4.5-1build0.1"
"library",,"libmd0","1.1.0-2build1"
"library",,"libmount1","2.39.3-9ubuntu6.1"
"library",,"libncursesw6","6.4+20240113-1ubuntu2"
"library",,"libnettle8t64","3.9.1-2.2build1.1"
"library",,"libnghttp2-14","1.59.0-1ubuntu0.1"
"library",,"libnpth0t64","1.6-3.1build1"
"library",,"libp11-kit0","0.25.3-4ubuntu2.1"
