"type","ref","group","name","version"
"CONTAINER",,"build/jib-image.tar",
"LIBRARY","pkg:deb",,"adduser","3.137ubuntu1"
"LIBRARY","pkg:deb",,"apt","2.7.14build2"
"LIBRARY","pkg:deb",,"base-files","13ubuntu10.1"
"LIBRARY","pkg:deb",,"base-passwd","3.6.3build1"
"LIBRARY","pkg:deb",,"bash","5.2.21-2ubuntu4"
"LIBRARY","pkg:deb",,"bsdutils","1:2.39.3-9ubuntu6.1"
"LIBRARY","pkg:deb",,"ca-certificates","20240203"
"LIBRARY","pkg:maven","ch.qos.logback","logback-classic","1.5.12"
"LIBRARY","pkg:maven","ch.qos.logback","logback-core","1.5.12"
"LIBRARY","pkg:maven","com.fasterxml.jackson.core","jackson-annotations","2.18.2"
"LIBRARY","pkg:maven","com.fasterxml.jackson.core","jackson-core","2.18.2"
"LIBRARY","pkg:maven","com.fasterxml.jackson.core","jackson-databind","2.18.2"
"LIBRARY","pkg:maven","com.fasterxml.jackson.datatype","jackson-datatype-jdk8","2.18.2"
"LIBRARY","pkg:maven","com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.18.2"
"LIBRARY","pkg:maven","com.fasterxml.jackson.module","jackson-module-parameter-names","2.18.2"
"LIBRARY","pkg:deb",,"coreutils","9.4-3ubuntu6"
"LIBRARY","pkg:deb",,"curl","8.5.0-2ubuntu10.6"
"LIBRARY","pkg:deb",,"dash","0.5.12-6ubuntu5"
"LIBRARY","pkg:deb",,"debconf","1.5.86ubuntu1"
"LIBRARY","pkg:deb",,"debianutils","5.17build1"
"LIBRARY","pkg:deb",,"diffutils","1:3.10-1build1"
"LIBRARY","pkg:deb",,"dirmngr","2.4.4-2ubuntu17"
"LIBRARY","pkg:deb",,"dpkg","1.22.6ubuntu6.1"
"LIBRARY","pkg:deb",,"e2fsprogs","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY","pkg:deb",,"findutils","4.9.0-5build1"
"LIBRARY","pkg:deb",,"fontconfig","2.15.0-1.1ubuntu2"
