"type","group","name","version"
"CONTAINER",,"build/jib-image.tar",
"LIBRARY",,"adduser","3.137ubuntu1"
"LIBRARY",,"apt","2.7.14build2"
"LIBRARY",,"base-files","13ubuntu10.1"
"LIBRARY",,"base-passwd","3.6.3build1"
"LIBRARY",,"bash","5.2.21-2ubuntu4"
"LIBRARY",,"bsdutils","1:2.39.3-9ubuntu6.1"
"LIBRARY",,"ca-certificates","20240203"
"LIBRARY","ch.qos.logback","logback-classic","1.5.12"
"LIBRARY","ch.qos.logback","logback-core","1.5.12"
"LIBRARY","com.fasterxml.jackson.core","jackson-annotations","2.18.2"
"LIBRARY","com.fasterxml.jackson.core","jackson-core","2.18.2"
"LIBRARY","com.fasterxml.jackson.core","jackson-databind","2.18.2"
"LIBRARY","com.fasterxml.jackson.datatype","jackson-datatype-jdk8","2.18.2"
"LIBRARY","com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.18.2"
"LIBRARY","com.fasterxml.jackson.module","jackson-module-parameter-names","2.18.2"
"LIBRARY",,"coreutils","9.4-3ubuntu6"
"LIBRARY",,"curl","8.5.0-2ubuntu10.6"
"LIBRARY",,"dash","0.5.12-6ubuntu5"
"LIBRARY",,"debconf","1.5.86ubuntu1"
"LIBRARY",,"debianutils","5.17build1"
"LIBRARY",,"diffutils","1:3.10-1build1"
"LIBRARY",,"dirmngr","2.4.4-2ubuntu17"
"LIBRARY",,"dpkg","1.22.6ubuntu6.1"
"LIBRARY",,"e2fsprogs","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"findutils","4.9.0-5build1"
"LIBRARY",,"fontconfig","2.15.0-1.1ubuntu2"
"LIBRARY",,"fontconfig-config","2.15.0-1.1ubuntu2"
"LIBRARY",,"fonts-dejavu-core","2.37-8"
"LIBRARY",,"fonts-dejavu-mono","2.37-8"
"LIBRARY",,"gcc-14-base","14.2.0-4ubuntu2~24.04"
"LIBRARY",,"gnupg","2.4.4-2ubuntu17"
"LIBRARY",,"gnupg-utils","2.4.4-2ubuntu17"
"LIBRARY",,"gpg","2.4.4-2ubuntu17"
"LIBRARY",,"gpg-agent","2.4.4-2ubuntu17"
"LIBRARY",,"gpgconf","2.4.4-2ubuntu17"
"LIBRARY",,"gpgsm","2.4.4-2ubuntu17"
"LIBRARY",,"gpgv","2.4.4-2ubuntu17"
"LIBRARY",,"grep","3.11-4build1"
"LIBRARY",,"gzip","1.12-1ubuntu3"
"LIBRARY",,"hostname","3.23+nmu2ubuntu2"
"LIBRARY",,"init-system-helpers","1.66ubuntu1"
"LIBRARY","io.micrometer","micrometer-commons","1.14.2"
"LIBRARY","io.micrometer","micrometer-observation","1.14.2"
"LIBRARY","jakarta.annotation","jakarta.annotation-api","2.1.1"
"LIBRARY",,"keyboxd","2.4.4-2ubuntu17"
"LIBRARY",,"libacl1","2.3.2-1build1.1"
"LIBRARY",,"libapt-pkg6.0t64","2.7.14build2"
"LIBRARY",,"libassuan0","2.5.6-1build1"
"LIBRARY",,"libattr1","1:2.5.2-1build1"
"LIBRARY",,"libaudit-common","1:3.1.2-2.1build1.1"
"LIBRARY",,"libaudit1","1:3.1.2-2.1build1.1"
"LIBRARY",,"libblkid1","2.39.3-9ubuntu6.1"
"LIBRARY",,"libbrotli1","1.1.0-2build2"
"LIBRARY",,"libbz2-1.0","1.0.8-5.1build0.1"
"LIBRARY",,"libc-bin","2.39-0ubuntu8.3"
"LIBRARY",,"libc6","2.39-0ubuntu8.3"
"LIBRARY",,"libcap-ng0","0.8.4-2build2"
"LIBRARY",,"libcap2","1:2.66-5ubuntu2"
"LIBRARY",,"libcom-err2","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"libcrypt1","1:4.4.36-4build1"
"LIBRARY",,"libcurl4t64","8.5.0-2ubuntu10.6"
"LIBRARY",,"libdb5.3t64","5.3.28+dfsg2-7"
"LIBRARY",,"libdebconfclient0","0.271ubuntu3"
"LIBRARY",,"libexpat1","2.6.1-2ubuntu0.2"
"LIBRARY",,"libext2fs2t64","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"libffi8","3.4.6-1build1"
"LIBRARY",,"libfontconfig1","2.15.0-1.1ubuntu2"
"LIBRARY",,"libfreetype6","2.13.2+dfsg-1build3"
